Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
United States,Vegetables,07/03/2012,193349856,L,North America,Online,08/06/2012,164628.66,284817.9,1779
Saudi Arabia,Baby Food,08/10/2012,797808098,H,Middle East and Africa,Online,08/23/2012,450327.6,2466739.17,9963
United Arab Emirates,Meat,10/16/2011,919795579,L,Middle East and Africa,Online,12/07/2011,2916013.6,4228939.68,7024
India,Beverages,01/10/2014,593303705,C,Asia-Pacific,Online,01/13/2014,310120.64,452392.48,9991
Canada,Beverages,06/22/2016,410727955,L,North America,Offline,07/28/2016,37603.65,57192.24,1239
United States,Beverages,02/01/2015,386665249,C,North America,Offline,02/04/2015,86734.32,127337.48,2764
Mexico,Snacks,11/01/2011,838908273,M,North America,Online,11/30/2011,941526.12,1403288.88,6316
Turkey,Fruits,05/12/2010,709004943,H,Europe,Online,05/22/2010,45102.72,60448.32,6672
Japan,Snacks,03/18/2017,702764446,C,Asia-Pacific,Offline,03/22/2017,363535.6,506812.4,2440
Australia,Personal Care,06/17/2012,217734861,C,Asia-Pacific,Offline,06/19/2012,478410.24,708111.36,8448
Turkey,Cereal,04/26/2014,694021782,C,Europe,Online,04/30/2014,1212359.96,2034736.9,9863
Mexico,Vegetables,03/10/2017,103484630,H,North America,Offline,03/20/2017,171599.35,286718.33,1927
Japan,Office Supplies,03/02/2017,679153816,H,Asia-Pacific,Offline,03/15/2017,1701632.92,2244151.4,3358
Mexico,Fruits,04/04/2011,709194872,C,North America,Online,04/07/2011,34630.12,46704.42,5138
United States,Vegetables,12/22/2015,277303722,C,North America,Online,12/24/2015,203513.14,354550.82,2203
Australia,Clothes,06/23/2014,366186631,M,Asia-Pacific,Offline,07/19/2014,271213.79,791373.75,7277
Germany,Fruits,08/07/2016,345824373,H,Europe,Online,08/15/2016,1436.54,2050.65,217
United States,Fruits,02/14/2013,713152854,H,North America,Online,03/01/2013,54116.16,72396.47,8053
United Arab Emirates,Meat,01/22/2011,882839238,C,Middle East and Africa,Online,01/23/2011,2977529.88,4426187.62,7162
Mexico,Snacks,07/08/2014,581695135,H,North America,Online,07/18/2014,281118.6,390303.9,1890
Poland,Cereal,10/20/2012,690907304,L,Europe,Offline,12/16/2012,155447.4,284528.55,1335
United States,Snacks,08/26/2012,530613729,H,North America,Online,09/02/2012,1029648.88,1398973.58,6758
United States,Household,12/22/2012,941128035,H,North America,Offline,01/03/2013,1186185.96,3335515.59,4773
United Arab Emirates,Clothes,08/28/2010,153839920,L,Middle East and Africa,Online,10/15/2010,307847.41,963336.92,8983
United Arab Emirates,Baby Food,10/08/2010,228727266,H,Middle East and Africa,Online,10/22/2010,58563.64,301454.76,1213
Ireland,Personal Care,09/14/2014,379995032,H,Europe,Online,09/29/2014,551120.48,775182.26,9662
Turkey,Vegetables,12/23/2012,439492674,L,Europe,Online,02/03/2013,207547.56,338799.12,2244
United States,Meat,01/12/2016,173864104,H,North America,Online,01/20/2016,3455688.24,5456981.16,8388
Netherlands,Cosmetics,02/04/2016,421455482,M,Europe,Offline,02/28/2016,2194743.42,3953991.96,8766
United States,Cosmetics,03/16/2016,468164906,H,North America,Online,03/23/2016,1175079.96,1936797.1,4562
Turkey,Snacks,10/25/2012,397083132,L,Europe,Offline,12/22/2012,136407.52,197099.36,932
United States,Fruits,10/24/2011,220123666,M,North America,Offline,11/22/2011,64514.28,85805.82,9138
Mexico,Cereal,07/13/2016,491541578,H,North America,Offline,07/26/2016,293748.54,495803.28,2526
Canada,Clothes,12/19/2013,274484941,M,North America,Online,01/16/2014,98357.84,280044.8,2632
Poland,Baby Food,08/14/2014,510751046,M,Europe,Offline,09/05/2014,204905.93,1164337.82,4471
Canada,Clothes,12/03/2013,527849588,M,North America,Offline,12/27/2013,133405.8,425022.84,3828
Singapore,Beverages,03/12/2017,455569462,L,Asia-Pacific,Offline,04/27/2017,215129.28,326283.84,6648
United States,Cosmetics,06/06/2010,436808455,M,North America,Offline,06/24/2010,2583137.14,4415554.06,9874
Saudi Arabia,Household,07/01/2010,837507241,M,Middle East and Africa,Offline,07/29/2010,31870.65,87471.25,127
Netherlands,Household,12/27/2016,432091877,H,Europe,Offline,01/06/2017,547988.95,1402205.13,2141
Egypt,Household,02/25/2012,760904107,L,Middle East and Africa,Online,04/08/2012,1608610.79,4387344.09,6311
