Country,Item Type,Order Date,Order ID,Order Priority,Region,Sales Channel,Ship Date,Total Cost,Total Revenue,Units Sold
Libya,Baby Food,03/07/12,193349856,L,Middle East and North Africa,Offline,06/08/12,85907.91,471950.91,1779
Maldives,Baby Food,14/06/12,868820204,H,Asia,Offline,22/06/12,401605.47,2152062.36,8379
Yemen,Household,10/08/16,553778756,C,Middle East and North Africa,Online,13/08/16,52927.58,132979.18,206
Switzerland,Cereal,23/02/11,748245888,C,Europe,Online,24/02/11,710754.36,1346063.4,6324
Bulgaria,Vegetables,31/03/14,488302652,M,Europe,Offline,17/04/14,814273.2,1426829.76,9144
China,Vegetables,01/06/17,208449460,H,Asia,Offline,09/06/17,461540.94,772284.73,4841
Sao Tome and Principe,Meat,25/02/14,833953718,L,Sub-Saharan Africa,Offline,07/04/14,1515475.24,2246811.16,3532
Lebanon,Personal Care,01/11/11,838908273,C,Middle East and North Africa,Offline,05/11/11,349716.92,538186.36,6316
Thailand,Snacks,27/07/12,171069472,L,Asia,Offline,21/09/12,98268.75,131875,625
Saint Vincent and the Grenadines,Vegetables,08/05/17,253407200,L,Central America and the Caribbean,Offline,22/06/17,621538.26,1028503.32,6582
Monaco,Clothes,18/07/16,647099690,L,Europe,Online,29/08/16,210024.9,691761.6,6030
Democratic Republic of the Congo,Baby Food,14/01/17,739830322,H,Sub-Saharan Africa,Offline,21/01/17,336136.56,1770417.44,7016
Malawi,Cosmetics,24/08/17,415143362,H,Sub-Saharan Africa,Offline,06/09/17,1208958.4,1923468.91,4471
Madagascar,Meat,13/08/15,420452650,H,Sub-Saharan Africa,Online,20/08/15,3697588.1,5442853.05,8417
United States,Cereal,19/01/16,624636385,L,North America,Offline,19/03/16,1072345.89,1825826.86,8789
East Timor,Fruits,26/08/10,621828280,L,Australia and Oceania,Offline,02/10/10,67925.85,83991.3,9395
United States,Office Supplies,26/05/17,751325257,C,North America,Offline,30/05/17,4620709.66,5946962.07,9107
Mozambique,Office Supplies,23/06/14,366186631,C,Sub-Saharan Africa,Online,26/06/14,3972805.38,4715859.85,7277
Grenada,Fruits,07/08/16,345824373,H,Central America and the Caribbean,Offline,15/08/16,1436.54,2050.65,217
Australia,Fruits,14/02/13,713152854,H,Australia and Oceania,Offline,01/03/13,54116.16,72396.47,8053
Georgia,Clothes,19/02/12,541417711,M,Asia,Online,08/03/12,61460.08,181780.72,1688
Seychelles,Baby Food,08/07/14,581695135,H,Sub-Saharan Africa,Offline,18/07/14,87431.4,467529.3,1890
Trinidad and Tobago,Cereal,20/10/12,690907304,L,Central America and the Caribbean,Online,16/12/12,155447.4,284528.55,1335
Australia,Snacks,26/08/12,530613729,H,Australia and Oceania,Offline,02/09/12,1029648.88,1398973.58,6758
Federated States of Micronesia,Household,22/12/12,941128035,H,Australia and Oceania,Online,03/01/13,1186185.96,3335515.59,4773
Azerbaijan,Cereal,10/06/12,436730606,C,Asia,Online,11/06/12,1149433.43,1885868.63,9589
Australia,Personal Care,21/08/10,352548261,M,Australia and Oceania,Offline,07/09/10,170467.68,245860.8,3144
Gabon,Personal Care,11/12/16,439699535,C,Sub-Saharan Africa,Offline,12/12/16,401078.08,573187.68,6968
San Marino,Snacks,23/12/12,439492674,L,Europe,Offline,03/02/13,348268.8,468659.4,2244
United States,Baby Food,28/10/10,173864104,M,North America,Offline,18/11/10,388699.92,2234059.92,8388
Jamaica,Cosmetics,04/02/16,421455482,C,Central America and the Caribbean,Online,07/02/16,2194743.42,3953991.96,8766
Libya,Cereal,15/03/11,326161867,L,Middle East and North Africa,Offline,07/05/11,1036173.48,1843888.44,9164
Bahrain,Clothes,25/10/12,397083132,L,Middle East and North Africa,Online,22/12/12,32042.16,101066.08,932
Australia,Fruits,24/10/11,220123666,C,Australia and Oceania,Online,28/10/11,64514.28,85805.82,9138
Tonga,Cereal,13/07/16,491541578,H,Australia and Oceania,Online,26/07/16,293748.54,495803.28,2526
United States,Fruits,24/06/17,536344399,C,North America,Offline,25/06/17,41906.34,57112.86,5894
Turkmenistan,Clothes,16/08/14,542073642,C,Asia,Offline,17/08/14,111464.22,326433.1,3038
United States,Cosmetics,16/04/14,594246837,C,North America,Offline,17/04/14,1999772.22,3523073.44,7811
Germany,Clothes,27/05/17,930353157,C,Europe,Offline,29/05/17,233438.16,750687.28,6628
Poland,Snacks,24/04/10,385042337,M,Europe,Online,12/05/10,646690.72,976385.63,4379
East Timor,Personal Care,08/07/13,304095531,M,Australia and Oceania,Online,05/08/13,462020.71,720715,8479
Bulgaria,Vegetables,31/10/15,454549587,M,Europe,Offline,21/11/15,547910.77,976665.66,6067
Cambodia,Snacks,09/09/15,695295870,H,Asia,Online,18/09/15,1018174.63,1475752.21,6791
Mexico,Household,26/11/16,408071259,M,Central America and the Caribbean,Offline,20/12/16,1699392.45,4287344.64,6753
Trinidad and Tobago,Personal Care,15/12/14,954725078,L,Central America and the Caribbean,Online,28/01/15,204284.73,302952.13,3601
Saudi Arabia,Snacks,13/10/15,352188235,H,Middle East and North Africa,Online,28/10/15,818410.58,1245339.34,5591
Oman,Clothes,11/04/10,925159146,C,Middle East and North Africa,Offline,12/04/10,154450.27,454265.5,4111
Solomon Islands,Household,18/07/15,906341966,C,Australia and Oceania,Online,22/07/15,989917.14,2789278.57,4097
United States,Household,21/10/17,230307805,C,North America,Offline,26/10/17,1844394.09,5023793.61,7711
Kenya,Meat,14/11/16,578796089,L,Sub-Saharan Africa,Online,09/01/17,3505356,5431460.4,8370
Antigua and Barbuda,Meat,24/02/17,572309605,L,Central America and the Caribbean,Offline,03/04/17,3639513.6,5246985.6,8640
Tonga,Cosmetics,07/10/13,511281012,C,Australia and Oceania,Online,10/10/13,2257743.21,3775851.57,8949
Syria,Vegetables,27/08/14,322086735,C,Middle East and North Africa,Offline,31/08/14,504177.72,843387.96,5521
Canada,Household,08/05/15,997356828,H,North America,Online,13/05/15,1438838.83,3874973.96,5863
